Thu, 16 May 2019 00:35:21 IP/Port: ('127.0.0.1', 58119) 	 URL: http//localhost8000/public/images.html
Thu, 16 May 2019 00:35:21 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/public/images.html
Thu, 16 May 2019 00:35:23 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:35:27 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:35:44 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:35:49 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:35:53 IP/Port: ('127.0.0.1', 58122) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:44:33 IP/Port: ('127.0.0.1', 58240) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:44:35 IP/Port: ('127.0.0.1', 58240) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:45:59 IP/Port: ('127.0.0.1', 58252) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:46:01 IP/Port: ('127.0.0.1', 58253) 	 URL: http//localhost8000/
Thu, 16 May 2019 00:46:33 IP/Port: ('127.0.0.1', 58272) 	 URL: http//localhost8000/public/images.html
